FECHA,RESULTADO,RIVAL,LUGAR
08/09/26 - Fecha 1,14-2,Sin Permiso de Chicauma FC,EntreTiempo
15/09/26 - Fecha 2,3-8,Las Pircas FC,EntreTiempo
22/09/26 - Fecha 3,5-6,Club Vinder,EntreTiempo
29/09/26 - Fecha 4,,Ases del Balon,EntreTiempo
06/10/26 - Fecha 5,,La Juve,EntreTiempo
13/10/26 - Fecha 6,,Sin Permiso de Chicauma,EntreTiempo
20/10/26 - Fecha 7,,Las Pircas FC,EntreTiempo
27/10/26 - Fecha 8,,Club Vinder,EntreTiempo
03/11/26 - Fecha 9,,Ases del Balon,EntreTiempo
10/11/26 - Fecha 10,,La Juve,EntreTiempo
