FECHA,RESULTADO,RIVAL,LUGAR
03/09/2026,5-1,Del Valle FC, EntreTiempo +30
00/09/2026,,Las Pircas, EntreTiempo +30
00/09/2026,,Cejotas FC, EntreTiempo +30
00/09/2026,,CD La Juanfra FC, EntreTiempo +30
00/09/2026,,AS Monaco FC, EntreTiempo +30
00/09/2026,,Club Boys, EntreTiempo +30
00/09/2026,,Geraldpool FC, EntreTiempo +30
00/09/2026,,Sueltala FC, EntreTiempo +30
00/09/2026,,Solo Play FC, EntreTiempo +30
00/09/2026,,Nordicos United, EntreTiempo +30
00/09/2026,,Las Pircas, EntreTiempo +30
00/09/2026,,Tercer Tiempo Fsed, EntreTiempo +30
