Fecha,Resultado,Rival,Lugar
07/05/26,1-7,Tercer Tiempo,EntreTiempo - Torneo
30/04/26,8-8,Los Cejotas FC,EntreTiempo - Torneo
27/04/26,7-4,La Banda, EntreTiempo - Amistoso
23/04/26,3-5,Solo Play FC,EntreTiempo - Torneo
16/04/26,5-5,As Monaco FC,EntreTiempo - Torneo
09/04/26,5-3,Torcazas FC,EntreTiempo - Torneo
30/03/26,9-6,MariaJuana,EuforiaNorte - Amistoso
23/03/26,6-10,Tercer Tiempo,EuforiaNorte - Amistoso
19/03/26,5-6,Tercer Tiempo,EuforiaNorte - Amistoso
16/03/26,7-7,Torcazas FC,EuforiaNorte - Amistoso
12/03/26,6-10,Atletico Mistral,EuforiaNorte - Amistoso
11/03/26,13-4,Cancheros,EuforiaNorte - Amistoso
05/03/26,6-7,Drink Team,EuforiaNorte - Amistoso
26/02/26,7-7,Hurones,EuforiaNorte - Amistoso
18/02/26,7-6,Las Pirkas,EuforiaNorte - Amistoso
11/02/26,1-13,Libra,EuforiaNorte - Amistoso
05/02/26,4-6,Juanfra,EuforiaNorte - Amistoso
04/02/26,14-3,Ases del Balón,EuforiaNorte - Amistoso
28/01/26,5-10,Monaco,EuforiaNorte - Amistoso
29/12/25,3-11,Bloque 8,SoccerSiete - Fase Oro
22/12/25,3-11,Schneider,SoccerSiete - Fase Oro
18/12/25,4-9,La Poli,EuforiaNorte - Amistoso
15/12/25,1-3,Alba City,SoccerSiete - Fase Oro
01/12/25,9-2,Húsares,SoccerSiete - Torneo
24/11/25,2-1,Academia,SoccerSiete - Torneo
20/11/25,3-3,Suéltala,EntreTiempo - Torneo
17/11/25,3-12,Bloque 8,SoccerSiete - Torneo
13/11/25,2-8,Basurekes FC,EntreTiempo - Torneo
10/11/25,4-3,Unión sin Fronteras FC,SoccerSiete - Torneo
06/10/25,3-8,Ases del Balón,EntreTiempo - Torneo
03/11/25,6-1,Ases del Balón,SoccerSiete - Torneo
23/10/25,5-5,Triageria FC,EntreTiempo - Torneo
16/10/25,3-5,Hurones,EntreTiempo - Torneo
13/10/25,8-5,Torcazas FC,EuforiaNorte - Amistoso
09/10/25,8-4,Torcazas FC,EntreTiempo - Torneo
02/10/25,5-3,Inter de Milonga,EntreTiempo - Torneo
29/09/25,10-2,Ases del Balón,EntreTiempo - Amistoso
08/09/25,13-6,Unión sin Fronteras,SoccerSiete - Torneo
01/09/25,3-2,Academia,SoccerSiete - Torneo
25/08/25,5-11,Forasteros,SoccerSiete - Torneo
18/08/25,5-6,San Lucho,SoccerSiete - Torneo
15/08/25,4-3,Suéltala,Taqueral - Amistoso
11/08/25,5-8,Sin Perdón,SoccerSiete - Torneo
04/08/25,2-4,Nacimiento,SoccerSiete - Torneo
30/07/25,9-3,Basuritas,Taqueral - Amistoso
28/07/25,3-10,Albacity,SoccerSiete - Torneo
23/07/25,4-6,Real Amistad,- Torneo - Amistoso
21/07/25,3-4,Forasteros,SoccerSiete - Torneo
14/07/25,5-5,Forasteros,SoccerSiete - Amistoso
10/07/25,5-7,San Ramon,Taqueral - Amistoso
07/07/25,6-6,Mandarina,SoccerSiete - Torneo
30/06/25,3-12,Niupi,SoccerSiete - Torneo
23/06/25,5-7,Sparring,SoccerSiete - Torneo
18/06/25,8-7,Kurt Cobain,Taqueral - Amistoso
12/06/25,12-4,Kurt Cobain,Taqueral - Amistoso
09/06/25,3-5,Leprosos,SoccerSiete - Torneo
02/06/25,5-1,Nacimiento,SoccerSiete - Torneo
26/05/25,9-6,Kurt Cobain,Taqueral - Amistoso
19/05/25,5-8,Shipa Shipa,Taqueral - Torneo
12/05/25,0-2,Albacity,SoccerSiete - Torneo
05/05/25,6-3,Leprosos,SoccerSiete - Torneo
28/04/25,6-5,Sin Perdón,SoccerSiete - Torneo
24/04/25,9-5,Kurt Cobain,Taqueral - Amistoso
21/04/25,13-1,Lagoons City,SoccerSiete - Torneo
16/04/25,7-6,Real Amistad,- Amistoso
14/04/25,9-2,San Cristóbal,SoccerSiete - Torneo
07/04/25,6-5,Leprosos,SoccerSiete - Torneo
31/03/25,5-5,Sin Perdón,SoccerSiete - Torneo
24/03/25,1-6,Banda Celeste,SoccerSiete - Torneo
17/03/25,5-6,Sparring,SoccerSiete - Amistoso
13/03/25,10-4,Kurt Cobain,Taqueral - Amistoso
10/03/25,5-6,Via Sur,SoccerSiete - Torneo
06/03/25,3-6,Kurt Cobain,Taqueral - Amistoso
03/03/25,5-5,Parrilla Dormunt,- Amistoso
24/02/25,4-6,San Cristóbal,SoccerSiete - Torneo
20/02/25,6-4,Lo Ovalle,- Amistoso
17/02/25,6-4,Mandarina,SoccerSiete - Torneo
11/02/25,7-6,Coca Cola,- Amistoso
