NOMBRE,GOLES
SEBASTIAN RUMINOT,32
HERNAN ESCALANTE,21
DANIEL RAMOS,17
JESUS VILLAMIZAR,14
DIEGO CANCINO,14
ANDRES ULLOA,14
FRANCISCO RAMIREZ,13
DARIL STUARDO,11
DANIEL GALLARDO,8
PATRICIO ORTEGA,8
NICOLAS BRAVO,7
JONATHAN MOYA,7
NICOLAS BARRA,7
JOEL LAGOS,7
IGNACIO CARDENAS,7
ESTEBAN SEPULVEDA,7
DANIEL MOYA,6
DARIK MAQUEZ,5
MARCELO LOYOLA,4
LUIS URRA,3
LENIN,3
CESAR,3
GABRIEL MOYA,2
CARLOS CAMBERES,2
FELIPE CANALES,2
ALEJANDRO MORALES,2
ROBY ARANEDA,1
DAVID INZUNZA,1
MAURICIO ESCOBAR,1
JOSUE RUIZ,1
